,skeleton_id,node_id_src,node_id_dst,branch_distance,branch_type,mean_pixel_value,stdev_pixel_value,image_coord_src_0,image_coord_src_1,image_coord_src_2,image_coord_dst_0,image_coord_dst_1,image_coord_dst_2,coord_src_0,coord_src_1,coord_src_2,coord_dst_0,coord_dst_1,coord_dst_2,euclidean_distance,path_id,random_path_id,MANUAL_CLUSTER_ID
0,1,1,70,3.1462643699419726,0,1.0,0.0,0,1,11,2,1,10,0,1,11,2,1,10,2.23606797749979,0,177,0
1,0,2,71,4.5604779323150675,1,1.0,0.0,0,1,20,2,1,23,0,1,20,2,1,23,3.605551275463989,1,165,0
2,2,3,5,2.0,0,1.0,0.0,0,3,0,0,3,2,0,3,0,0,3,2,2.0,2,206,0
3,3,6,9,1.0,0,1.0,0.0,0,4,12,0,5,12,0,4,12,0,5,12,1.0,3,101,0
4,4,12,77,2.0,1,1.0,0.0,0,7,10,2,7,10,0,7,10,2,7,10,2.0,4,162,0
5,5,13,92,4.146264369941973,0,1.0,0.0,0,7,14,3,5,13,0,7,14,3,5,13,3.7416573867739413,5,109,0
6,6,14,99,10.120955864630135,1,1.0,0.0,0,10,30,3,14,26,0,10,30,3,14,26,6.4031242374328485,6,92,0
7,7,15,17,1.0,0,1.0,0.0,0,11,10,0,12,10,0,11,10,0,12,10,1.0,7,16,0
8,8,18,21,1.4142135623730951,0,1.0,0.0,0,12,16,0,13,17,0,12,16,0,13,17,1.4142135623730951,8,164,0
9,6,19,48,1.7320508075688772,1,1.0,0.0,0,12,22,1,11,23,0,12,22,1,11,23,1.7320508075688772,9,224,0
10,10,23,52,2.732050807568877,0,1.0,0.0,0,17,14,1,16,16,0,17,14,1,16,16,2.449489742783178,10,5,0
11,11,25,31,4.414213562373095,0,1.0,0.0,0,18,21,0,22,22,0,18,21,0,22,22,4.123105625617661,11,180,0
12,12,28,57,3.8284271247461903,0,1.0,0.0,0,20,28,1,21,31,0,20,28,1,21,31,3.3166247903554,12,60,0
13,13,29,55,1.0,0,1.0,0.0,0,21,16,1,21,16,0,21,16,1,21,16,1.0,13,0,0
14,14,32,33,1.0,0,1.0,0.0,0,25,0,0,26,0,0,25,0,0,26,0,1.0,14,147,0
15,15,34,35,1.0,0,1.0,0.0,0,26,28,0,27,28,0,26,28,0,27,28,1.0,15,107,0
16,17,37,38,1.0,0,1.0,0.0,0,30,24,0,31,24,0,30,24,0,31,24,1.0,16,203,0
17,0,41,42,1.4142135623730951,2,1.0,0.0,1,2,24,1,3,25,1,2,24,1,3,25,1.4142135623730951,17,9,0
18,0,41,71,1.7320508075688772,2,1.0,0.0,1,2,24,2,1,23,1,2,24,2,1,23,1.7320508075688772,18,79,0
19,0,41,72,1.7320508075688772,2,1.0,0.0,1,2,24,2,1,25,1,2,24,2,1,25,1.7320508075688772,19,128,0
20,0,42,46,6.292528739883945,1,1.0,0.0,1,3,25,1,7,23,1,3,25,1,7,23,4.47213595499958,20,168,0
21,0,42,73,5.196152422706632,2,1.0,0.0,1,3,25,2,4,26,1,3,25,2,4,26,1.7320508075688772,21,93,0
22,0,42,73,1.7320508075688772,2,1.0,0.0,1,3,25,2,4,26,1,3,25,2,4,26,1.7320508075688772,22,66,0
23,18,47,142,4.414213562373095,0,1.0,0.0,1,11,4,5,11,5,1,11,4,5,11,5,4.123105625617661,23,197,0
24,6,48,99,5.5604779323150675,2,1.0,0.0,1,11,23,3,14,26,1,11,23,3,14,26,4.69041575982343,24,195,0
25,6,48,79,1.4142135623730951,1,1.0,0.0,1,11,23,2,10,23,1,11,23,2,10,23,1.4142135623730951,25,200,0
26,20,58,60,2.0,0,1.0,0.0,1,23,5,1,23,7,1,23,5,1,23,7,2.0,26,138,0
27,21,62,133,7.974691494688162,1,1.0,0.0,1,28,21,4,26,21,1,28,21,4,26,21,3.605551275463989,27,59,0
28,0,71,72,3.4641016151377544,2,1.0,0.0,2,1,23,2,1,25,2,1,23,2,1,25,2.0,28,84,0
29,0,72,110,6.5604779323150675,2,1.0,0.0,2,1,25,4,2,29,2,1,25,4,2,29,4.58257569495584,29,19,0
30,0,73,111,3.1462643699419726,2,1.0,0.0,2,4,26,4,3,28,2,4,26,4,3,28,3.0,30,220,0
31,4,77,93,3.414213562373095,1,1.0,0.0,2,7,10,3,7,7,2,7,10,3,7,7,3.1622776601683795,31,170,0
32,4,77,94,1.7320508075688772,1,1.0,0.0,2,7,10,3,8,11,2,7,10,3,8,11,1.7320508075688772,32,28,0
33,25,81,82,1.0,0,1.0,0.0,2,12,0,2,13,0,2,12,0,2,13,0,1.0,33,51,0
34,6,99,147,4.146264369941973,2,1.0,0.0,3,14,26,5,16,24,3,14,26,5,16,24,3.4641016151377544,34,161,0
35,30,101,105,2.0,0,1.0,0.0,3,23,12,3,25,12,3,23,12,3,25,12,2.0,35,27,0
36,32,104,106,1.0,0,1.0,0.0,3,24,28,3,25,28,3,24,28,3,25,28,1.0,36,214,0
37,0,110,111,1.4142135623730951,2,1.0,0.0,4,2,29,4,3,28,4,2,29,4,3,28,1.4142135623730951,37,54,0
38,0,110,224,8.974691494688162,1,1.0,0.0,4,2,29,8,6,31,4,2,29,8,6,31,6.0,38,150,0
39,0,111,170,5.5604779323150675,1,1.0,0.0,4,3,28,6,6,25,4,3,28,6,6,25,4.69041575982343,39,231,0
40,6,121,147,4.5604779323150675,2,1.0,0.0,4,17,25,5,16,24,4,17,25,5,16,24,1.7320508075688772,40,132,0
41,6,121,147,1.7320508075688772,2,1.0,0.0,4,17,25,5,16,24,4,17,25,5,16,24,1.7320508075688772,41,102,0
42,6,121,149,1.7320508075688772,2,1.0,0.0,4,17,25,5,18,26,4,17,25,5,18,26,1.7320508075688772,42,226,0
43,6,124,149,2.414213562373095,1,1.0,0.0,4,18,28,5,18,26,4,18,28,5,18,26,2.23606797749979,43,13,0
44,42,125,151,1.7320508075688772,0,1.0,0.0,4,20,2,5,19,1,4,20,2,5,19,1,1.7320508075688772,44,21,0
45,43,126,187,5.878315177510849,1,1.0,0.0,4,20,10,6,24,13,4,20,10,6,24,13,5.385164807134504,45,49,0
46,21,133,192,5.242640687119286,2,1.0,0.0,4,26,21,6,26,22,4,26,21,6,26,22,2.23606797749979,46,186,0
47,21,133,157,1.4142135623730951,2,1.0,0.0,4,26,21,5,25,21,4,26,21,5,25,21,1.4142135623730951,47,166,0
48,49,137,240,5.146264369941973,0,1.0,0.0,5,3,1,9,1,0,5,3,1,9,1,0,4.58257569495584,48,110,0
49,53,145,146,1.0,0,1.0,0.0,5,14,13,5,14,14,5,14,13,5,14,14,1.0,49,47,0
50,6,149,270,8.560477932315068,1,1.0,0.0,5,18,26,10,18,22,5,18,26,10,18,22,6.4031242374328485,50,143,0
51,54,152,205,2.414213562373095,0,1.0,0.0,5,20,6,7,19,6,5,20,6,7,19,6,2.23606797749979,51,122,0
52,21,157,192,8.610365985079726,2,1.0,0.0,5,25,21,6,26,22,5,25,21,6,26,22,1.7320508075688772,52,182,0
53,21,157,192,1.7320508075688772,2,1.0,0.0,5,25,21,6,26,22,5,25,21,6,26,22,1.7320508075688772,53,37,0
54,43,158,187,3.1462643699419726,1,1.0,0.0,5,26,15,6,24,13,5,26,15,6,24,13,3.0,54,63,0
55,60,167,197,1.0,0,1.0,0.0,6,3,24,7,3,24,6,3,24,7,3,24,1.0,55,3,0
56,62,173,227,5.878315177510849,1,1.0,0.0,6,10,18,8,12,21,6,10,18,8,12,21,4.123105625617661,56,26,0
57,62,174,200,2.732050807568877,1,1.0,0.0,6,10,25,7,11,23,6,10,25,7,11,23,2.449489742783178,57,65,0
58,63,178,208,1.4142135623730951,1,1.0,0.0,6,19,31,7,20,31,6,19,31,7,20,31,1.4142135623730951,58,62,0
59,64,181,234,2.732050807568877,0,1.0,0.0,6,22,7,8,23,6,6,22,7,8,23,6,2.449489742783178,59,223,0
60,43,187,236,4.146264369941973,2,1.0,0.0,6,24,13,8,27,12,6,24,13,8,27,12,3.7416573867739413,60,108,0
61,63,191,208,6.146264369941973,1,1.0,0.0,6,25,31,7,20,31,6,25,31,7,20,31,5.0990195135927845,61,216,0
62,62,200,243,3.1462643699419726,1,1.0,0.0,7,11,23,9,9,22,7,11,23,9,9,22,3.0,62,146,0
63,62,200,227,2.732050807568877,2,1.0,0.0,7,11,23,8,12,21,7,11,23,8,12,21,2.449489742783178,63,36,0
64,71,206,230,1.7320508075688772,0,1.0,0.0,7,19,15,8,18,16,7,19,15,8,18,16,1.7320508075688772,64,70,0
65,63,208,233,1.4142135623730951,1,1.0,0.0,7,20,31,8,21,31,7,20,31,8,21,31,1.4142135623730951,65,11,0
66,43,214,236,3.1462643699419726,1,1.0,0.0,7,29,10,8,27,12,7,29,10,8,27,12,3.0,66,227,0
67,62,227,291,4.878315177510849,1,1.0,0.0,8,12,21,11,10,20,8,12,21,11,10,20,3.7416573867739413,67,119,0
68,81,232,271,3.1462643699419726,1,1.0,0.0,8,20,0,10,21,2,8,20,0,10,21,2,3.0,68,163,0
69,43,236,376,7.292528739883945,1,1.0,0.0,8,27,12,13,31,12,8,27,12,13,31,12,6.4031242374328485,69,10,0
70,82,238,284,7.5604779323150675,0,1.0,0.0,8,29,18,10,31,22,8,29,18,10,31,22,4.898979485566356,70,152,0
71,84,241,242,1.0,0,1.0,0.0,9,8,17,9,8,18,9,8,17,9,8,18,1.0,71,157,0
72,81,247,271,15.21733218180745,1,1.0,0.0,9,15,5,10,21,2,9,15,5,10,21,2,6.782329983125268,72,111,0
73,91,261,285,2.732050807568877,0,1.0,0.0,10,2,17,11,1,19,10,2,17,11,1,19,2.449489742783178,73,141,0
74,94,265,267,1.0,0,1.0,0.0,10,10,31,10,11,31,10,10,31,10,11,31,1.0,74,136,0
75,95,268,362,4.82842712474619,0,1.0,0.0,10,13,28,13,13,31,10,13,28,13,13,31,4.242640687119285,75,97,0
76,81,271,333,3.414213562373095,2,1.0,0.0,10,21,2,12,21,4,10,21,2,12,21,4,2.8284271247461903,76,153,0
77,81,274,333,12.170843917394793,2,1.0,0.0,10,22,12,12,21,4,10,22,12,12,21,4,8.306623862918075,77,145,0
78,81,274,312,1.4142135623730951,1,1.0,0.0,10,22,12,11,21,12,10,22,12,11,21,12,1.4142135623730951,78,20,0
79,81,274,482,10.438793109825918,1,1.0,0.0,10,22,12,17,23,8,10,22,12,17,23,8,8.12403840463596,79,160,0
80,96,276,313,2.732050807568877,0,1.0,0.0,10,22,21,11,21,19,10,22,21,11,21,19,2.449489742783178,80,183,0
81,99,279,318,1.4142135623730951,0,1.0,0.0,10,29,5,11,29,6,10,29,5,11,29,6,1.4142135623730951,81,114,0
82,100,286,382,10.756630355021699,0,1.0,0.0,11,2,23,14,7,20,11,2,23,14,7,20,6.557438524302,82,83,0
83,104,290,326,1.7320508075688772,0,1.0,0.0,11,9,4,12,8,5,11,9,4,12,8,5,1.7320508075688772,83,18,0
84,107,296,363,4.5604779323150675,1,1.0,0.0,11,15,16,13,16,18,11,15,16,13,16,18,3.0,84,209,0
85,109,305,307,1.0,0,1.0,0.0,11,18,31,11,19,31,11,18,31,11,19,31,1.0,85,24,0
86,110,315,317,1.0,0,1.0,0.0,11,24,31,11,25,31,11,24,31,11,25,31,1.0,86,123,0
87,111,316,337,1.4142135623730951,0,1.0,0.0,11,25,16,12,24,16,11,25,16,12,24,16,1.4142135623730951,87,125,0
88,113,321,428,7.878315177510849,0,1.0,0.0,11,30,26,15,30,31,11,30,26,15,30,31,6.4031242374328485,88,137,0
89,114,322,345,1.4142135623730951,0,1.0,0.0,12,0,7,13,0,6,12,0,7,13,0,6,1.4142135623730951,89,105,0
90,105,325,359,7.70674230225704,1,1.0,0.0,12,7,11,13,12,9,12,7,11,13,12,9,5.477225575051661,90,199,0
91,81,333,366,1.7320508075688772,1,1.0,0.0,12,21,4,13,22,3,12,21,4,13,22,3,1.7320508075688772,91,30,0
92,118,338,368,2.414213562373095,0,1.0,0.0,12,25,22,13,25,20,12,25,22,13,25,20,2.23606797749979,92,115,0
93,121,346,348,1.0,0,1.0,0.0,13,1,15,13,2,15,13,1,15,13,2,15,1.0,93,85,0
94,122,347,408,2.8284271247461903,0,1.0,0.0,13,1,31,15,1,31,13,1,31,15,1,31,2.0,94,198,0
95,105,359,359,8.292528739883945,3,1.0,0.0,13,12,9,13,12,9,13,12,9,13,12,9,0.0,95,29,0
96,127,360,411,4.242640687119286,0,1.0,0.0,13,13,1,15,14,4,13,13,1,15,14,4,3.7416573867739413,96,55,0
97,107,363,419,5.5604779323150675,1,1.0,0.0,13,16,18,15,16,22,13,16,18,15,16,22,4.47213595499958,97,100,0
98,107,363,392,1.7320508075688772,2,1.0,0.0,13,16,18,14,15,17,13,16,18,14,15,17,1.7320508075688772,98,58,0
99,107,363,392,4.5604779323150675,2,1.0,0.0,13,16,18,14,15,17,13,16,18,14,15,17,1.7320508075688772,99,133,0
100,129,371,373,1.4142135623730951,0,1.0,0.0,13,26,14,13,27,15,13,26,14,13,27,15,1.4142135623730951,100,121,0
101,131,374,404,1.0,0,1.0,0.0,13,27,27,14,27,27,13,27,27,14,27,27,1.0,101,187,0
102,132,378,379,1.0,0,1.0,0.0,14,3,4,14,3,5,14,3,4,14,3,5,1.0,102,134,0
103,134,386,387,1.0,0,1.0,0.0,14,11,3,14,11,4,14,11,3,14,11,4,1.0,103,151,0
104,107,392,467,5.974691494688162,1,1.0,0.0,14,15,17,17,11,15,14,15,17,17,11,15,5.385164807134504,104,50,0
105,136,394,413,1.0,0,1.0,0.0,14,15,26,15,15,26,14,15,26,15,15,26,1.0,105,42,0
106,138,399,420,1.0,0,1.0,0.0,14,19,27,15,19,27,14,19,27,15,19,27,1.0,106,201,0
107,143,407,409,8.071067811865476,0,1.0,0.0,15,0,3,15,2,0,15,0,3,15,2,0,3.605551275463989,107,43,0
108,144,410,472,2.0,0,1.0,0.0,15,13,22,17,13,22,15,13,22,17,13,22,2.0,108,232,0
109,137,414,441,7.560477932315067,0,1.0,0.0,15,16,6,16,17,12,15,16,6,16,17,12,6.164414002968976,109,189,0
110,145,421,503,4.464101615137754,1,1.0,0.0,15,20,3,18,18,3,15,20,3,18,18,3,3.605551275463989,110,210,0
111,147,424,425,1.0,0,1.0,0.0,15,24,0,15,25,0,15,24,0,15,25,0,1.0,111,167,0
112,149,427,450,1.7320508075688772,1,1.0,0.0,15,28,12,16,29,13,15,28,12,16,29,13,1.7320508075688772,112,112,0
113,146,443,443,6.292528739883944,3,1.0,0.0,16,20,19,16,20,19,16,20,19,16,20,19,0.0,113,1,0
114,146,443,501,4.5604779323150675,1,1.0,0.0,16,20,19,18,17,17,16,20,19,18,17,17,4.123105625617661,114,67,0
115,152,447,483,2.414213562373095,0,1.0,0.0,16,23,30,17,23,28,16,23,30,17,23,28,2.23606797749979,115,74,0
116,149,450,451,1.0,1,1.0,0.0,16,29,13,16,29,14,16,29,13,16,29,14,1.0,116,89,0
117,149,450,452,1.4142135623730951,1,1.0,0.0,16,29,13,16,30,12,16,29,13,16,30,12,1.4142135623730951,117,181,0
118,155,453,511,7.610365985079726,1,1.0,0.0,16,30,18,18,29,23,16,30,18,18,29,23,5.477225575051661,118,57,0
