label,Branch N leaves,Branch N spots,Branch N sub branch spots,Branch N successors,Branch Sinuosity,Branch depth,Branch duration and displacement,Branch duration and displacement
1,1,31,0,0,1.8368961139402384,0,26.14626474546604,30.0
2,1,31,0,0,4.0437703940013945,0,12.231544879842449,30.0
3,1,31,0,0,2.32419366983515,0,20.049983290516725,30.0
4,1,31,0,0,2.4185710927917046,0,19.7269825391518,30.0
5,1,25,0,0,2.88997457970643,0,6.633716476455724,24.0
6,1,26,0,0,3.0768416739107964,0,17.439822261135564,25.0
7,1,24,0,0,2.0650836913695434,0,14.892196305783777,23.0
8,1,31,0,0,2.430186095668735,0,19.812111969449397,30.0
9,1,31,0,0,3.170606461369555,0,17.040602249040383,30.0
10,2,28,2,2,3.088538080895194,0,11.36558526630283,27.0
11,1,31,0,0,2.037905189450574,0,26.153458890221394,30.0
12,3,24,4,2,2.046882971162194,0,10.218577158998214,23.0
13,1,31,0,0,1.8014396129049735,0,22.54036945991791,30.0
14,2,24,2,2,8.937756609220218,0,3.4577584158092924,23.0
15,1,31,0,0,1.7888796981441593,0,28.028577860819126,30.0
16,1,31,0,0,1.8862296416996245,0,19.455106375705068,30.0
17,1,31,0,0,2.2886640241757483,0,17.250306409162693,30.0
18,3,3,4,2,1.2020719631213364,0,3.3868516722761832,2.0
19,2,2,2,2,1.0,0,1.6294570445396896,1.0
20,1,31,0,0,2.9552279209867707,0,15.622173457621063,30.0
21,1,31,0,0,3.3728863718356217,0,14.481695419045383,30.0
22,1,31,0,0,1.798255301554727,0,30.203565031631612,30.0
23,1,31,0,0,2.3110139389645785,0,21.40228290883942,30.0
24,3,24,4,2,4.276617023223796,0,5.574419187511829,23.0
25,1,31,0,0,1.607112312564604,0,30.524678668593715,30.0
26,1,31,0,0,1.642549497585319,0,26.03012945218744,30.0
27,1,31,0,0,2.150542151260182,0,21.19362494265669,30.0
28,1,31,0,0,2.3098015408391195,0,19.249839440629103,30.0
29,1,31,0,0,1.8268674392749484,0,23.949728632491837,30.0
30,1,31,0,0,2.3686555121993025,0,20.53596216883933,30.0
31,1,31,0,0,2.075183281394238,0,24.57863458148153,30.0
32,1,31,0,0,2.307346342296366,0,19.799909596005737,30.0
33,2,27,2,2,6.373584144408762,0,5.016453203499447,26.0
34,1,31,0,0,2.161285298346387,0,18.748600166679108,30.0
35,1,31,0,0,2.078111534954308,0,21.124224150486572,30.0
36,1,31,0,0,2.0360606065949773,0,22.977379231757485,30.0
37,2,29,2,2,5.868369953641531,0,7.161498210353753,28.0
38,1,31,0,0,3.1260756235223037,0,16.08897978897357,30.0
39,3,12,4,2,7.287017731787672,0,6.236625586004016,11.0
40,1,26,0,0,1.7657468978343969,0,33.55113679817721,25.0
41,1,31,0,0,1.668777535591567,0,31.5035855538699,30.0
42,1,31,0,0,1.7941806728692795,0,27.200247427918743,30.0
43,1,31,0,0,2.2114634963967434,0,20.34228863722074,30.0
44,3,26,4,2,6.407286109560876,0,4.851488354525848,25.0
45,1,31,0,0,1.8958572582813427,0,25.502301548291673,30.0
46,1,31,0,0,1.713470506916525,0,34.81891539551456,30.0
47,1,31,0,0,2.1904897706123347,0,23.22593657487249,30.0
48,1,31,0,0,2.149137220553449,0,30.12409097931421,30.0
49,1,31,0,0,3.1132314135137533,0,15.073298449908028,30.0
50,1,31,0,0,2.6260212337076223,0,17.845145772450284,30.0
51,2,27,2,2,2.9359052922792133,0,13.156671588589559,26.0
52,1,24,0,0,4.872082469235226,0,6.993195643802625,23.0
53,1,31,0,0,2.969709284610424,0,15.818317928907604,30.0
54,1,28,0,0,1.6522846950876744,0,27.581292443429838,27.0
55,2,7,2,2,1.519993001009978,0,5.304699400531569,6.0
56,1,31,0,0,2.235472096766518,0,22.79994297821817,30.0
57,1,31,0,0,3.0179116037507177,0,15.700008427386274,30.0
58,2,29,2,2,1.999019048842459,0,21.139316741323498,28.0
59,1,27,0,0,4.41890586184639,0,9.462402242031356,26.0
60,1,25,0,0,2.4075824113294493,0,13.60511616929455,24.0
61,1,31,0,0,1.8516538725342149,0,25.326262110483256,30.0
62,2,30,2,2,2.4647516086598,0,18.25515432103766,29.0
63,1,31,0,0,1.939365118909501,0,23.888404129462057,30.0
64,3,26,4,2,9.688753009679855,0,6.640338701421772,25.0
65,3,5,4,2,2.4198853563339022,0,2.199553304127923,4.0
66,1,15,0,0,1.6599652140092285,0,28.213731872301118,14.0
67,1,22,0,0,8.148895881662007,0,8.794156970966588,21.0
68,1,15,0,0,2.1720099663880807,0,17.63671507651014,14.0
69,3,9,4,2,2.616552836323324,0,9.994971449684078,8.0
70,1,12,0,0,8.064204852067135,0,4.494349813933053,11.0
71,1,14,0,0,2.2088493945742584,0,18.128809534619194,13.0
72,1,12,0,0,2.643675957633228,0,8.785948460468001,11.0
73,4,6,6,2,5.480607595498768,0,9.149268229754764,5.0
74,1,31,0,0,4.295867862235323,0,25.975495780831594,30.0
75,1,12,0,0,1.483294329848369,0,23.344685786276933,11.0
76,1,31,0,0,6.732265744064595,0,12.137482665318226,30.0
77,1,29,0,0,4.922437339061876,0,18.663410184167844,28.0
78,1,24,0,0,3.3755838124439257,0,21.738002675728982,23.0
79,3,6,4,2,4.359267949042675,0,4.332624684876363,5.0
80,7,6,12,2,1.4678916826724069,0,8.986104352832768,5.0
81,1,13,0,0,5.012277132607302,0,9.124728284173724,12.0
82,2,10,2,2,4.739032371933654,0,3.463141744139272,9.0
83,1,31,0,0,4.737748838641301,0,15.132520592749895,30.0
84,2,28,2,2,5.555997138158216,0,13.865352946463343,27.0
85,2,30,2,2,7.453328768657576,0,10.190068389368156,29.0
86,1,19,0,0,2.5921338200992703,0,29.011840349243634,18.0
87,3,15,4,2,2.770115120191278,0,16.570093553749174,14.0
88,3,10,4,2,2.8720691014547692,0,11.367166456509716,9.0
89,1,31,0,0,2.830777435407347,0,36.034621334523564,30.0
90,2,13,2,2,4.458159977369942,0,8.415495444690118,12.0
91,7,18,12,2,5.399160651793692,0,8.957424833622657,17.0
92,1,31,0,0,4.046488185898646,0,22.255543006181625,30.0
93,2,26,2,2,4.871607674514398,0,16.02399895562903,25.0
94,2,15,2,2,3.4111899375461334,0,12.25102054116309,14.0
95,1,29,0,0,2.2889039943331926,1,19.692948312784445,29.0
96,1,29,0,0,1.7880463074306794,1,17.76590042750436,29.0
97,2,23,2,2,3.7841235676693024,1,8.272100029013178,23.0
98,1,14,0,0,16.582871025632453,1,18.2429728377806,14.0
99,2,13,2,2,4.639012474495881,1,4.828001994997512,13.0
100,1,6,0,0,1.4246394882852114,1,12.842728007806599,6.0
101,1,11,0,0,2.314401846177912,1,23.861693339115728,11.0
102,6,14,10,2,2.6426074798737247,1,6.6587940056740065,14.0
103,1,14,0,0,4.070968113941539,1,30.575768535557682,14.0
104,3,21,4,2,3.787480939311484,1,19.87839720022719,21.0
105,1,7,0,0,6.0802092206498815,1,15.99411632444881,7.0
106,2,20,2,2,7.1894779020096635,1,7.145206418291925,20.0
107,1,12,0,0,1.7173122957404168,1,9.139722121049427,12.0
108,1,24,0,0,1.6477190830614736,1,29.938807652443337,24.0
109,2,21,2,2,2.376378883710636,1,17.463729214861296,21.0
110,1,11,0,0,5.46214290465799,1,17.66822379527721,11.0
111,1,7,0,0,2.098881392577982,1,6.25203669295054,7.0
112,1,13,0,0,3.0093060415987534,1,6.5140924317973825,13.0
113,1,13,0,0,3.3189595303320782,1,9.660770325910871,13.0
114,2,14,2,2,1.876844996592263,1,11.492918558834385,14.0
115,1,1,0,0,NaN,0,0.0,0.0
116,2,7,2,2,1.7884759668761978,1,14.457457150204537,7.0
117,1,19,0,0,4.224069658293718,1,39.579092233273876,19.0
118,1,16,0,0,3.6617685011645604,1,11.656734351626955,16.0
119,1,18,0,0,3.2795691022388316,1,6.517329598148314,18.0
120,1,16,0,0,5.817098066078187,1,23.757458494462316,16.0
121,1,12,0,0,2.9637413789298996,1,13.92543506598269,12.0
122,2,15,2,2,8.883410451893067,1,5.922955348472579,15.0
123,1,6,0,0,1.2774448303501023,1,36.919509628650275,6.0
124,1,1,0,0,NaN,0,0.0,0.0
125,5,6,8,2,3.0357641559387316,1,3.0672945033041716,6.0
126,2,12,2,2,3.7787457951302073,1,30.946556744167843,12.0
127,1,13,0,0,2.8327665769943433,2,19.745129283537267,13.0
128,1,13,0,0,6.404985223075221,2,6.041706163824904,13.0
129,1,12,0,0,1.6122685987380894,2,26.685673047536206,12.0
130,1,12,0,0,2.128878450324723,2,13.452198993844831,12.0
131,1,2,0,0,1.0,0,0.9625306488626825,1.0
132,5,4,8,2,7.106586067613962,2,6.005852657774753,4.0
133,1,11,0,0,3.726975742598469,2,22.629080057527748,11.0
134,1,11,0,0,2.913529913394416,0,13.238927978125725,10.0
135,1,9,0,0,7.39511735910924,0,4.554859181138314,8.0
136,1,10,0,0,4.415062670443577,0,9.908152761236583,9.0
137,1,1,0,0,NaN,0,0.0,0.0
138,2,5,2,2,1.023651884438041,1,11.292556303175997,5.0
139,1,7,0,0,1.1915692572987044,1,22.018834438498327,7.0
140,1,7,0,0,1.0593509128049665,1,16.25876541784462,7.0
141,1,7,0,0,1.0438057127985547,1,14.635946111628726,7.0
142,1,7,0,0,1.2558248877753704,1,17.712771138926854,7.0
143,2,3,2,2,1.0619703281602435,1,5.602198387740299,3.0
144,4,3,6,2,1.1750514455684338,3,1.5989214749011285,3.0
145,1,7,0,0,2.9404360599286767,3,26.2644554737558,7.0
146,2,4,2,2,1.2251008797996867,2,26.858713551657694,4.0
147,3,2,4,2,1.0,2,3.1822057915854596,2.0
148,1,7,0,0,2.223274567124392,2,13.386683887356115,7.0
149,1,7,0,0,2.45001451943854,2,14.595397332378448,7.0
150,1,5,0,0,1.0318294317975145,2,9.164098502307791,5.0
151,1,5,0,0,1.2192119421919736,2,12.399027368709215,5.0
152,1,2,0,0,1.0,1,14.046274553774039,2.0
153,1,4,0,0,1.3600607030817715,1,20.322808478652746,4.0
154,2,2,2,2,1.0,1,5.672172104308902,2.0
155,1,5,0,0,1.079300472750265,1,13.340255402686264,5.0
156,1,5,0,0,2.030176395724017,2,9.37808652871149,5.0
157,1,4,0,0,1.8869643232809576,2,17.375350622361555,4.0
158,1,5,0,0,1.2564310475126317,1,20.821330390011113,5.0
159,2,3,2,2,1.059307676315521,1,6.390567671967801,3.0
160,2,4,2,2,1.1904325595051626,3,4.283058053540722,4.0
161,1,1,0,0,NaN,3,22.003236120852765,1.0
162,2,2,2,2,1.0,0,5.9754920508691365,1.0
163,1,4,0,0,1.0959347758557514,1,12.0386644147098,4.0
164,1,4,0,0,1.3553381423259634,1,10.142705166650565,4.0
165,1,4,0,0,1.0507802285463652,1,9.267063193914245,4.0
166,1,4,0,0,1.101615935448128,1,19.271329025523908,4.0
167,1,1,0,0,NaN,4,31.981579636592823,1.0
168,3,1,4,2,NaN,4,2.125287627593021,1.0
169,2,3,2,2,1.2628808746024356,2,5.437418671575706,3.0
170,1,1,0,0,NaN,2,22.452874355191142,1.0
171,1,4,0,0,1.0173695799227598,2,15.727362098699198,4.0
172,1,4,0,0,1.217751741721075,2,10.000665690022837,4.0
173,1,4,0,0,1.1806555502610474,1,6.162869209223906,4.0
174,1,1,0,0,NaN,1,7.522453900822515,1.0
175,1,3,0,0,1.0115061993546406,0,26.70564951672211,2.0
176,1,3,0,0,1.0016973918052017,1,10.835075099878173,3.0
177,1,3,0,0,1.1138206118801284,1,9.489723716531476,3.0
178,1,3,0,0,1.1415912157131378,1,5.828420654860118,3.0
179,1,1,0,0,NaN,1,17.77970247213378,1.0
180,1,3,0,0,1.109890821203565,2,8.09765484631198,3.0
181,1,3,0,0,1.0143278192450884,2,11.11513106803514,3.0
182,1,3,0,0,1.122552658040017,3,7.145986711434606,3.0
183,1,1,0,0,NaN,3,15.124077662786584,1.0
184,1,3,0,0,1.012425430197042,5,20.29721586548261,3.0
185,2,2,2,2,1.0,5,3.56108094544339,2.0
186,1,2,0,0,1.0,2,5.02916458271153,2.0
187,1,2,0,0,1.0,2,18.13760536025238,2.0
188,1,2,0,0,1.0,1,11.92862458705529,2.0
189,1,2,0,0,1.0,1,6.91677045231371,2.0
190,1,2,0,0,1.0,1,4.571086161953198,2.0
191,1,2,0,0,1.0,1,12.621810865026468,2.0
192,1,2,0,0,1.0,2,5.591212339019147,2.0
193,1,2,0,0,1.0,2,30.68306324867842,2.0
194,1,1,0,0,NaN,1,11.679623309011296,1.0
195,1,1,0,0,NaN,1,2.091944829578448,1.0
196,1,1,0,0,NaN,1,20.23716490741724,1.0
197,1,1,0,0,NaN,1,10.032987625827102,1.0
198,1,1,0,0,NaN,3,1.8903836885669452,1.0
199,1,1,0,0,NaN,3,24.222600341210274,1.0
200,1,1,0,0,NaN,2,8.142490918017664,1.0
201,1,1,0,0,NaN,2,7.930149796189223,1.0
202,1,1,0,0,NaN,2,11.483674566531393,1.0
203,1,1,0,0,NaN,2,7.486569398596387,1.0
204,1,1,0,0,NaN,4,1.7714974738903793,1.0
205,1,1,0,0,NaN,4,28.36452604381044,1.0
206,1,1,0,0,NaN,6,5.1845420521006504,1.0
207,1,1,0,0,NaN,6,13.53576517931661,1.0
208,1,1,0,0,NaN,2,16.143107664573137,1.0
209,1,1,0,0,NaN,2,5.312502336940673,1.0
210,1,1,0,0,NaN,0,0.0,0.0
211,1,1,0,0,NaN,0,0.0,0.0
212,1,1,0,0,NaN,0,0.0,0.0
